Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал
Азу;11,9;14,2;10,2;214
Антрекот;27,3;31,2;1,7;396
Антрекот из говядины;29,6;11,2;0;220
Антрекот из свинины;28,7;9,8;0;210
Бараний окорок;18;18;0;232
Бараний рубец;11,5;4;0;82
Бараний фарш;17;23;0;282
Бараний язык;12,6;16,1;0;195
Баранина;15,6;16,3;0;209
Баранина вареная;24,6;21,4;0;291
Баранина жареная;20;24;0;320
Баранина тушеная;20;20,9;0;268
Баранье сердце;13,5;2,5;0;82
Бараньи почки;13,6;2,5;0;77
Бараньи яйца;13;19;0,1;230
Баранья лопатка;15,6;25;0;284
Баранья печень;18,7;2,9;0;101
Бастурма турецкая;14,8;20,1;0;240
Бекон;23;45;0;500
Бекон Мираторг Любительский;12;35;0;360
Бекон сырокопченый Дымов Венгерский;10;44;0;436
Бефстроганов;21,9;27,4;5,7;355
Бефстроганов из говядины;16,7;11,3;5,9;193
Бефстроганов из курицы;14,7;2;0,4;163
Бефстроганов из свинины;19,4;7,1;0;142
Бизонье мясо;21,6;1,2;0;109
Бифштекс;27,8;29,6;1,7;384
Блюдо армянское Бозбаш 4 сезона;3;9,5;4;126
Блюдо болгарское Жаркое по-деревенски 4 сезона;3,5;11,1;5,5;137
Блюдо греческое Мясо по-македонски 4 сезона;5,8;10,1;22;206
Блюдо грузинское Чахохбили с фасолью 4 сезона;6,2;5,5;3,4;87
Блюдо индийское Цыплёнок карри 4 сезона;6,6;3,2;21;142
Блюдо испанское Паэлья 4 сезона;8,2;3;16,3;129
Блюдо итальянское Пенне карбонара 4 сезона;5,6;11,4;16,4;188
Блюдо итальянское Ризотто с морепродуктами 4 сезона;6,5;6,4;18,8;163
Блюдо китайское Курочка по-пекински 4 сезона;5,6;3,3;11,8;102
Блюдо китайское Свинина в кисло-сладком соусе 4 сезона;4,4;9,4;14,8;153
Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона;6,6;8,5;10,7;127
Блюдо мексиканское Чили кон карне 4 сезона;6,4;8,8;15,7;160
Блюдо наше Макароны по-флотски 4 сезона;7,6;9,9;21,2;185
Блюдо русское Барашек с гречкой 4 сезона;5,9;13,8;17,7;224
Блюдо среднеазиатское Лагман 4 сезона;4,3;8,9;13,3;158
Блюдо тайское Лапша карри 4 сезона;5,9;6,4;12,7;128
Блюдо узбекское Плов с бараниной 4 сезона;4,2;6;14,9;150
Блюдо французское Шампиньон де пари 4 сезона;6,7;9,5;5,1;129
Блюдо швейцарское Фондю эменталь 4 сезона;7,9;10,2;13,3;175
Блюдо японское Сакэна с рисом 4 сезона;5,7;2,4;13,6;103
Буженина вареная;16,4;18,3;1;233
Буженина Фабрика Качества из мяса цыплят-бройлеров Традиционная запечённая;20;9;0;160
Буйволятина;19;13,2;0;194
Буйволятина вареная;30;17,4;0;276
Буйволятина жареная;33,4;23,2;0;342
Буйволятина тушеная;24,4;16,9;0;250
Бульмени Горячая штучка С говядиной и свининой;14,5;9,5;19;220
Бульмени Горячая штучка Со сливочным маслом;14,5;10;19;224
Бычьи яйца;13;20;0,1;230
Верблюжатина;18,9;9,4;0;160
Верблюжатина вареная;29,8;12,4;0;230
Верблюжатина жареная;33,3;16,5;0;281
Верблюжатина тушеная;24,3;12,1;0;205
Ветчина;14;24;0;270
Ветчина DAK Датская;18;4;1;112
Ветчина в форме;22,6;20,9;0;278
Ветчина Велком Говяжья вареная;19;5,5;0;130
Ветчина Велком из окорока вареная;18;6;0;130
Ветчина Венеция из мяса индеек;13,2;5,4;2,6;112
Ветчина ВкусВилл из индейки с травами;20,8;2,6;0;109
Ветчина Вязанка с индейкой;13;4;0;90
Ветчина Дымов с окороком;10;3;4;83
Ветчина Знаменские деликатесы по Швейцарскому рецепту;18;3;3;110
Ветчина из индейки обезжиренная;15;1;2;77
Ветчина Империя Вкуса из индейки;11;3;7;99
Ветчина Останкино Мраморная вареная;11;20;0;224
Ветчина Останкино нежная из индейки;10;10;5;154
Ветчина Останкино нежная из свиного окорока;8;13;3;166
Ветчина Папа может с индейкой;13;3;0;100
Ветчина Пармская;24,4;22,5;0,1;300
Ветчина Рублёвский Для завтрака из свинины;12;15;0;183
Ветчина Самокат Свиная премиум;6;37;3,5;370
Глухарь;18;20;0,5;254
Говядина;18,9;12,4;0;187
Говядина вареная;25,8;16,8;0;254
Говядина вареная нежирная;25,7;8,1;0,2;175
Говядина варено-копченая Ремит Отборная;16;4;1;100
Говядина жареная;32,7;28,1;0;384
Говядина копчено-вареная Мясницкий ряд Деликатесная;10;8;0;120
Говядина мраморная;18;10;0;170
Говядина постная;22,2;7,1;0;158
Говядина постная жареная;29;9,1;0;206
Говядина средней жирности;25;20;0;275
Говядина сырокопченая Егорьевская ФКГ Брезаола;20;3;1,5;113
Говядина сырокопченая МД Бородина нарезка;15;5;0;100
Говядина тушеная;16,8;18,3;0;232
Говядина тушеная Лента;15;17;0;213
Говяжий гуляш;14;9,2;2,6;148
Говяжий рубец;14,8;4,2;0;97
Говяжий стейк Мираторг Шатобриан Prime;16;18;0;230
Говяжий стейк Самсон из тазобедренной части;18;4;0;108
Говяжий фарш;17,2;20;0;254
Говяжий фарш жирный;15;25;0;293
Говяжий фарш Мираторг Black Angus;12;35;0;360
Говяжий фарш постный;18;15;0;215
Говяжий фарш Самсон 7,5%;16;7,5;0;139
Говяжий хвост;19,7;6,5;0;137
Говяжий язык;12,2;10,9;0;146
Говяжий язык вареный;23,9;15;0;231
Говяжье вымя;12,3;13,7;0;173
Говяжье сердце;16;3,5;0;96
Говяжьи губы;15;5;0;105
Говяжьи легкие;16,2;2,5;0;92
Говяжьи легкие тушеные;20,4;3,7;0;120
Говяжьи мозги;11,7;8,6;0;124
Говяжьи ноги;25;6,6;0;159
Говяжьи почки;15,2;2,8;0;86
Говяжьи ребра;11;35;0;359
Говяжьи уши;25,2;2,3;0;122
Говяжьи хвосты Самсон;13;40;0;412
Говяжьи щёки;17;7;0;125
Говяжьи щёки Мираторг;13;16;0;200
Говяжья вырезка;18,6;16;0;218
Говяжья вырезка филейная;20,1;3,5;0;113
Говяжья грудинка;19,3;15,7;0;217
Говяжья грудинка копчёная;7,6;66,8;0;632
Говяжья грудинка копчёно-варёная;10;55;0;540
Говяжья лопатка;19,4;6,6;0;137
Говяжья пашина;18,9;16,6;0;225
Говяжья печень;20;3,1;4;125
Говяжья печень вареная;19,4;3,4;3;117
Говяжья печень жареная;22,9;10,2;3,9;199
Говядина (печень нежирная);17,4;3,1;0;98
Говяжья покромка;18,6;16;0;218
Говяжья тазобедренная часть;20,2;6,4;0;138
Говяжья тушенка;14,1;17,4;0;214
Говяжья шейная часть;19,4;6,4;0;135
Голубиное мясо;18,5;23,8;0;294
Гусиная печень;15,2;39;0;412
Гусь;15,2;39;0;412
Гусь вареный;19,3;41,2;0;447
Гусь жареный;22,9;58,8;0;620
Дичь;34;6,5;0;200
Запеченная куриная грудка;20;4;0;126
Зельц;12,6;32;0,5;336
Змеиное мясо;16,4;0,3;0;93
Индейка (грудка);19,2;0,7;;84
Индейка (гузка);4;32;0;304
Индейка (желудки);20;7;;143
Индейка (кожа);12,7;36,9;0;387
Индейка (крылышки);16,5;11,4;;168
Индейка (ножки);15,7;8,9;;142
Индейка (окорочка);18,4;6,4;;131
Индейка (печень);19,5;22;;276
Индейка (сердце);16;5,1;0,4;128
Индейка (филе отварное);25;1;;130
Индейка вареная;25,3;10,4;;195
Индейка Деревенские Напевы филе грудки;20;2,5;0;100
Индейка Дымов Шато;12;3;0;71
Индейка жареная;28;6;;165
Индейка Индилайт биточки особые;11;25;10;310
Индейка Индилайт голень бескостная;16;10;0;150
Индейка Индилайт зразы любительские;12;25;10;310
Индейка Индилайт котлеты нежные;11;25;10;310
Индейка Индилайт крыло;11;17;0;200
Индейка Индилайт мышечные желудки;20;7;0;143
Индейка Индилайт печень;18;10;0;162
Индейка Индилайт сердце;15;10;0;150
Индейка Индилайт стейк грудки;20;2,5;0;100
Индейка Индилайт стейк по-мексикански;16;2,5;0;90
Индейка Индилайт фарш;10;27;0;280
Индейка Индилайт фарш Деликатесный;16;20;0;240
Индейка Индилайт фарш Классический;14;30;0;330
Индейка Индилайт фарш По-домашнему;12;25;0;270
Индейка Индилайт филе бедра;16;9;0;150
Индейка Индилайт филе грудки;20;6;0;130
Индейка Индилайт шарики;11;25;2;280
Индейка Индилайт шашлык из бедра Невский;13;11;0;150
Индейка Индилайт шашлык из грудки Белые ночи;16;2;0;80
Индейка Индилайт шницель аппетитный;12;22;10;290
Индейка Краснобор филе бедра;15;16;0;204
Индейка Пава-Пава филе голени;20;1,5;0;90
Индейка фарш;20;8;0,5;161
Индейка фарш Морозовская птицефабрика Особый;16;17;2;220
Индейка фарш Самсон 2,5%;22;2,5;0;111
Индейка фарш Торговая площадь;16;8;0,5;140
Индоутка (мускусная утка);25;23;0,2;271
Кабанье мясо;21,5;3,3;0;122
Карбонад варёно-копчёный;16;8;0;135
Карпаччо Равис из мяса птицы сыровяленное;40;16;0;322
Козлятина;18;16;0;216
Колбасный фарш;12,3;32,4;2,9;352
Конина;20,2;7;0;187
Конина вареная;30,8;13;0;240
Конина жареная;34,3;17,4;0;293
Конина тушеная;25;12,7;0;214
Корейка;13,7;36,5;;384
Корейка копчено-запеченная;10,2;48,2;;475
Корейка свиная б/к (карбонад);17;25;;301
Корейка сырокопченая;10,5;47,4;;469
Котлета Мираторг по-киевски с молодым картофелем в сливочном соусе;6,3;10;13,3;168
Котлета Сытоедов куриная с картофельным пюре под белым грибным соусом;6,5;10;11;160
Котлеты из баранины отбивные;20,6;30,6;9,1;394
Котлеты из баранины рубленые;13,6;14,8;12,9;240
Котлеты из говядины;18;20;0;260
Котлеты из говядины рубленые;14,2;11,4;13;213
Котлеты из индейки;18,6;12,2;8,7;220
Котлеты из курицы (готовые);18,2;10,4;13,8;222
Котлеты из мяса цыплят рубленые;15,2;13,6;13,5;238
Котлеты из свинины и говядины Черкизово рубленые;18;13;0;189
Котлеты из свинины отбивные;17,5;40,3;8,8;470
Котлеты из свинины рубленые;13,6;45,7;;466
Котлеты из свинины сырые;27,3;13,4;;238
Котлеты из телятины;23;31;0;375
Котлеты Мираторг из говядины Black Angus;12;35;0;360
Крокодиловое мясо;26;0,7;0;110
Кролик;21;8;0;156
Кролик жареный;25;6;0;155
Кроличий фарш;19,5;7,4;0,7;147
Кроличьи почки;12,5;1,8;0;66
Кроличья печень;19;10;0;166
Кроличья печень вареная;22,2;11,7;0;194
Круггетсы Горячая штучка Сочные;12;20;8;260
Крылышки Горячая штучка хрустящие;16,5;15;7,5;231
Куриная голень;18;14;0;198
Куриная голень вареная без кожи;27;5,6;0;158
Куриная грудка;23,6;1,9;0,4;113
Куриная грудка вареная;29,8;1,8;0,5;137
Куриная грудка копченая;18;5;0;117
Куриная грудка на пару;23,6;1,9;0;113
Куриная кожа;18;15,6;0;212
Куриная печень;19,1;6,3;0,6;136
Куриная печень вареная;25,9;6,2;2;166
Куриная печень жареная;30,8;8,9;2;210
Куриное мясо в собственном соку;16;20;0;240
Куриное сердце;15,8;10,3;0,8;159
Куриное сердце вареное;20;10,9;1,1;182
Куриное филе;23,1;1,2;0;110
Куриное филе Агрокомплекс;21;5;0;129
Куриное филе вареное;30,4;3,5;0;153
Куриное филе сыровяленое;52,8;9;0;292
Куриное филе-медальон Мираторг;13,3;8,1;15,5;188
Куриные бедра;21,3;11;0,1;185
Куриные биточки сливочные Троекурово;14;7;8,5;153
Куриные желудки;18,2;4,2;0,6;114
Куриные зразы с грибами и сыром Троекурово;14;7,5;8,4;157
Куриные крылышки;19,2;12,2;0;186
Куриные крылышки копченые;29,9;19,5;0;290
Куриные лапки;19,4;14,6;0,2;215
Куриные ножки маринованные;17;14;1,7;200
Куриные окорочка;16,8;10,2;0;158
Куриные окорочка копченые;10;20;0;220
Куриные потроха;18,3;5,2;1,4;130
Куриные фрикадельки Веснушки;13,8;8,7;7,6;164
Куриные шейки;14,7;26,4;0;297
Куриный рулет;16;26;0;310
Куриный рулет Рококо с черносливом и грецким орехом для запекания;14;17;3;220
Куриный суповой набор;16,5;12,6;0,4;181
Куриный фарш;17,4;8,1;0;143
Куриный фарш жирный;21,3;11;0,1;185
Куриный фарш Самсон 5%;16;5;0;105
Куриный фарш филейный Троекурово;21;5;0;130
Куриный фонарик копчено-вареный;11;5;2;97
Куриный шницель рубленый Троекурово;14,7;12,8;9,9;210
Курица;16;14;0;190
Курица вареная (без кожи);25,2;7,4;0;170
Курица жареная;26;12;0;210
Курица копченая;27,5;8,2;0;184
Куропатка;18;20;0,5;254
Куропатка жареная;29;8;0;250
Лангет;15,7;11,6;0;167
Лосятина;21,4;1,7;0;101
Лягушачьи лапки;16,4;0,3;0;73
Медвежье мясо;20,1;8,3;0;155
Мясной фарш с морковью Самсон 8%;13;8;3;145
Мясо косули;21,4;6;0;138
Мясо нутрии;18;4,6;0,2;176
Мясо цыпленка в собственном соку;15;16;0;204
Наггетсы куриные Мираторг классические;13,3;10,8;15,1;211
Наггетсы куриные Мираторг с ветчиной;13,3;13,1;14,5;229
Наггетсы куриные Мираторг с сыром;12,3;11,8;15,8;219
Наггетсы куриные Мираторг с сыром и грибами;13;12,4;15,7;226
Наггетсы куриные Мираторг хрустящие;12,9;12,1;15,6;223
Оленина;19,5;8,5;0;154
Оленина вареная;30,8;11,2;0;223
Оленина варено-прессованная;27;2,2;0;148
Оленина жареная;34,3;15;0;271
Оленина тушеная;25;10,9;0;198
Оленина тушеная Особая;10;4,3;2,9;81
Пастрома из мяса птицы;22;2;0;110
Паштет Grand-Mere печеночный классический;8,1;33;4,4;339
Паштет Grand-Mere печеночный с грибами;7,6;30;4,4;314
Паштет Grand-Mere печеночный с зеленью;7,7;31;4,4;323
Паштет Grand-Mere печеночный с паприкой;7,6;30;4,4;314
Паштет из говяжьей печени;18,1;11,1;7;177
Паштет мясной;15;11;0;170
Паштет печеночный говяжий классический;9,4;18,7;2,5;217
Перепелка;21,8;4,5;0;134
Поросенок молочный;20,6;3;0;109
Прошутто;22,6;20,9;0;279
Ростбиф из говядины;26,4;6,8;0;173
Рулет Ганна Домашнее лакомство из мяса птицы;15,3;11,9;0;168
Рулет Мясная история копчено-вареный из рульки;14;14;1;182
Рябчик;18;20;0,5;254
Сало;2,4;89;0;797
Свиная вырезка;19,4;7,1;0;142
Свиная голяшка Иней Баварская копчёно-варёная из окорока;15;9;0;141
Свиная грудинка без кости;10,1;53;0;510
Свиная грудинка Дымов Крылатская копчено-вареная;14;33;0;353
Свиная грудинка с костью;21;10;0;174
Свиная лопатка;16;21,7;0;257
Свиная нога жареная;27;20;0;290
Свиная печень;22;3,4;2,6;130
Свиная печень вареная;30,4;4,7;3,6;180
Свиная рулька со шкурой;18,6;24,7;0;294
Свиная тушенка;13;35;0;367
Свиная шейка;13,6;31,9;0;343
Свиная шкурка;18;16;0;216
Свиная щековина;6,4;69,6;0;494
Свиная щековина копченая;9,1;67,1;0,5;625
Свинина;16;21,6;0;259
Свинина вареная;22,6;31,6;0;375
Свинина жареная;11,4;49,3;0;489
Свинина копченая;16,6;24,8;3,4;302
Свинина постная;19,4;7,1;0;160
Свинина Самсон Поджарка из лопатки;16;18;0;230
Свинина тушеная;9,8;20,3;3,2;235
Свинина тушеная Скопино;13;35;0;367
Свино-говяжий фарш Велком мясной;15;25;0;285
Свино-говяжий фарш Мираторг Домашний;14;28;0;310
Свино-говяжий фарш Мираторг Любительский;15;25;0;290
Свино-говяжий фарш Слово Мясника для Болоньезе;10;20;2;230
Свиное рагу Слово Мясника Экстра;10;30;0;310
Свиное сердце;16,9;4,8;2,2;118
Свиное сердце вареное;33,8;9,6;4,4;236
Свиной балык;15,4;24,9;0;286
Свиной край на гриле;21;35;0;400
Свиной окорок;18;21,3;0;261
Свиной окорок копчено-вареный (Ашан);14;26;0;306
Свиной ошеек;16,1;22,8;0;267
Свиной подгрудок;7,4;67,8;0;630
Свиной фарш;17;21;0;263
Свиной фарш Черкизово Деревенский;14;26;0;290
Свиной шпик;1,4;92,8;0;841
Свиной язык;16,5;11,1;0;165
Свиные легкие;14,1;2,7;0;85
Свиные легкие тушеные;16,6;3,1;0;99
Свиные ноги;18;16;0;216
Свиные отбивные на гриле;28;24;0;340
Свиные почки;16,8;3,8;0;102
Свиные ребра;15,2;29,3;0;321
Свиные ребра копчено-вареные;10;55;0;535
Свиные ребра копченые;10;52,7;0;514
Свиные ребрышки Самсон;10;25;0;265
Свиные уши;21;14,1;0;211
Соевое мясо;52;1;17,6;296
Соевое мясо гуляш Здоровка;52;2;18;298
Соевое мясо фарш Здоровка;52;2;18;298
Соевый бефстроганов Bona Vita;48,9;2,3;8,9;312
Соевый гуляш Bona Vita;48,9;2,3;8,9;310
Соевый стейк Bona Vita со вкусом курицы;49;2,5;9;310
Соевый фарш Сойка сухой 50%;50;2;18;350
Страусиное мясо;21,7;1,2;0;98
Субпродукты тушеные;24;8;0;185
Телятина отварная;30,7;0,9;0;131
Телячий окорок;19,9;3,1;0;108
Телячьи легкие;16,3;2,3;0;90
Телячьи легкие тушеные;2,6;0;104;
Телячьи ребра;16,3;18,7;0;233
Телячья лопатка;19,9;2,8;0;106
Телячья мякоть;20,5;2,4;0;105
Телячья печень;19,2;3,3;4,1;124
Тетерев;18;20;0,5;254
Тефтели свиные;7;10;12;172
Улитка виноградная;16,1;1,4;2;90
Утиная грудка;18,9;9;2;172
Утиная грудка без кожи и жира;19;6;0;145
Печень утиная;15,8;38;0;405
Утка;13,5;28,6;0;308
Утка вареная;19,7;18,8;0;248
Утка жареная;22,6;19,5;0;266
Утка копченая;19;28,4;0;337
Утка Раменский деликатес Филе варёно-копчёное;19;5;0;120
Фазан;18;20;0,5;254
Фрикадельки Meatballs Самсон из говяжьего фарша 7,5%;19;7,5;0;139
Фрикадельки Meatballs Самсон из куриного фарша 5%;21;5;0;129
Фрикадельки Ближние горки из свиного фарша;13;18;0;210
Фуа-гра;11,4;43,8;4,7;462
Хамон;34,8;16,1;1,3;241
Хотстеры Горячая штучка замороженные;7;22;17;294
Цесарка;20,6;2,5;0;110
Цыпленок-бройлер Грудка Фабрика Качества;14;13;13;220
Цыпленок-бройлер Мякоть бедра Петруха;16,5;14,4;0;196
Цыпленок-бройлер охлажденный;18,7;16,1;0,5;219
Цыпленок-бройлер Печень Благояр;18;10;0;160
Цыпленок-бройлер Филе бедра Первая Свежесть охлажденное;13,8;8,7;0,4;136
Цыпленок-бройлер Филе бедра Петелинка без кожи;16;14;0;190
Чебупели Горячая штучка С ветчиной и сыром;6;13;36;285
Чебупели Горячая штучка Сочные с мясом;7;16;35;312
Чебупицца Горячая штучка Курочка по-итальянски;12,5;15;29;301
Чебупицца Горячая штучка Пепперони;10,5;13;23;251
Черепаха;19,8;0,5;0;89
Эскалоп;19;42,8;6,8;487
Ягнёнок (каре);16,2;14,1;0;192
Ягнёнок (нога);20,6;5,1;0;134
Ягнятина;16,2;14,1;0;192
